day: 2, portfolio value: 1000
day: 5, portfolio value: 1018.9
day: 8, portfolio value: 973.392
day: 11, portfolio value: 989.017
day: 14, portfolio value: 982.635
day: 17, portfolio value: 984.765
day: 20, portfolio value: 942.284
day: 23, portfolio value: 993.299
day: 26, portfolio value: 998.67
day: 29, portfolio value: 978.72
day: 32, portfolio value: 932.606
day: 35, portfolio value: 938.706
day: 38, portfolio value: 910.405
day: 41, portfolio value: 868.847
day: 44, portfolio value: 820.589
day: 47, portfolio value: 856.025
day: 50, portfolio value: 900.869
day: 53, portfolio value: 873.097
day: 56, portfolio value: 899.331
day: 59, portfolio value: 888.281
day: 62, portfolio value: 828.946
day: 65, portfolio value: 847.15
day: 68, portfolio value: 848.99
day: 71, portfolio value: 823.785
day: 74, portfolio value: 815.292
day: 77, portfolio value: 777.038
day: 80, portfolio value: 852.194
day: 83, portfolio value: 890.639
day: 86, portfolio value: 896.314
day: 89, portfolio value: 908.721
day: 92, portfolio value: 913.923
day: 95, portfolio value: 865.201
day: 98, portfolio value: 832.17
day: 101, portfolio value: 830.525
day: 104, portfolio value: 804.376
day: 107, portfolio value: 764.927
day: 110, portfolio value: 757.378
day: 113, portfolio value: 790.937
day: 116, portfolio value: 681.288
day: 119, portfolio value: 673.028
day: 122, portfolio value: 706.216
day: 125, portfolio value: 676.905
day: 128, portfolio value: 686.894
day: 131, portfolio value: 726.478
day: 134, portfolio value: 735.844
day: 137, portfolio value: 749.639
day: 140, portfolio value: 662.745
day: 143, portfolio value: 655.995
day: 146, portfolio value: 684.994
day: 149, portfolio value: 721.194
day: 152, portfolio value: 684.651
day: 155, portfolio value: 705.227
day: 158, portfolio value: 709.686
day: 161, portfolio value: 680.532
day: 164, portfolio value: 713.038
day: 167, portfolio value: 724.227
day: 170, portfolio value: 721.69
day: 173, portfolio value: 745.389
day: 176, portfolio value: 765.432
day: 179, portfolio value: 759.002
day: 182, portfolio value: 798.624
day: 185, portfolio value: 786.208
day: 188, portfolio value: 748.271
day: 191, portfolio value: 779.86
day: 194, portfolio value: 727.472
day: 197, portfolio value: 697.573
day: 200, portfolio value: 714.564
day: 203, portfolio value: 708.63
day: 206, portfolio value: 686.249
day: 209, portfolio value: 669.278
day: 212, portfolio value: 637.272
day: 215, portfolio value: 641.128
day: 218, portfolio value: 678.816
