day: 2, portfolio value: 1000
day: 5, portfolio value: 1018.6
day: 8, portfolio value: 969.029
day: 11, portfolio value: 981.662
day: 14, portfolio value: 974.71
day: 17, portfolio value: 971.152
day: 20, portfolio value: 931.244
day: 23, portfolio value: 986.047
day: 26, portfolio value: 985.595
day: 29, portfolio value: 977.445
day: 32, portfolio value: 922.67
day: 35, portfolio value: 935.495
day: 38, portfolio value: 908.454
day: 41, portfolio value: 859.892
day: 44, portfolio value: 809.701
day: 47, portfolio value: 826.071
day: 50, portfolio value: 867.946
day: 53, portfolio value: 849.674
day: 56, portfolio value: 879.388
day: 59, portfolio value: 869.685
day: 62, portfolio value: 806.749
day: 65, portfolio value: 803.744
day: 68, portfolio value: 805.576
day: 71, portfolio value: 767.633
day: 74, portfolio value: 772.145
day: 77, portfolio value: 715.857
day: 80, portfolio value: 792.844
day: 83, portfolio value: 830.725
day: 86, portfolio value: 826.678
day: 89, portfolio value: 847.829
day: 92, portfolio value: 856.132
day: 95, portfolio value: 801.336
day: 98, portfolio value: 772.083
day: 101, portfolio value: 766.978
day: 104, portfolio value: 747.171
day: 107, portfolio value: 708.888
day: 110, portfolio value: 702.394
day: 113, portfolio value: 727.429
day: 116, portfolio value: 623.212
day: 119, portfolio value: 614.359
day: 122, portfolio value: 648.155
day: 125, portfolio value: 617.16
day: 128, portfolio value: 617.002
day: 131, portfolio value: 654.963
day: 134, portfolio value: 663.815
day: 137, portfolio value: 673.437
day: 140, portfolio value: 587.262
day: 143, portfolio value: 577.658
day: 146, portfolio value: 605.202
day: 149, portfolio value: 639.815
day: 152, portfolio value: 601.965
day: 155, portfolio value: 621.229
day: 158, portfolio value: 624.021
day: 161, portfolio value: 605.431
day: 164, portfolio value: 633.24
day: 167, portfolio value: 645.356
day: 170, portfolio value: 647.081
day: 173, portfolio value: 671.206
day: 176, portfolio value: 701.692
day: 179, portfolio value: 686.217
day: 182, portfolio value: 723.236
day: 185, portfolio value: 707.22
day: 188, portfolio value: 666.98
day: 191, portfolio value: 693.66
day: 194, portfolio value: 647.41
day: 197, portfolio value: 618.542
day: 200, portfolio value: 636.464
day: 203, portfolio value: 630.997
day: 206, portfolio value: 614.541
day: 209, portfolio value: 599.02
day: 212, portfolio value: 566.553
day: 215, portfolio value: 568.034
day: 218, portfolio value: 599.622
day: 221, portfolio value: 571.415
day: 224, portfolio value: 543.856
day: 227, portfolio value: 554.465
day: 230, portfolio value: 562.125
day: 233, portfolio value: 596.137
day: 236, portfolio value: 592.777
day: 239, portfolio value: 555.109
day: 242, portfolio value: 542.371
day: 245, portfolio value: 580.946
day: 248, portfolio value: 610.029
day: 251, portfolio value: 584.382
day: 254, portfolio value: 593.944
day: 257, portfolio value: 575.276
day: 260, portfolio value: 601.12
day: 263, portfolio value: 570.246
day: 266, portfolio value: 591.583
day: 269, portfolio value: 571.945
day: 272, portfolio value: 557.282
day: 275, portfolio value: 549.05
day: 278, portfolio value: 552.573
day: 281, portfolio value: 556.525
day: 284, portfolio value: 565.963
day: 287, portfolio value: 584.432
day: 290, portfolio value: 584.576
day: 293, portfolio value: 613.799
day: 296, portfolio value: 620.438
day: 299, portfolio value: 625.521
day: 302, portfolio value: 656.549
day: 305, portfolio value: 657.432
day: 308, portfolio value: 647.535
day: 311, portfolio value: 653.104
day: 314, portfolio value: 631.054
day: 317, portfolio value: 628.951
day: 320, portfolio value: 629.575
day: 323, portfolio value: 639.895
day: 326, portfolio value: 609.916
day: 329, portfolio value: 625.239
day: 332, portfolio value: 642.063
day: 335, portfolio value: 652.059
day: 338, portfolio value: 643.8
day: 341, portfolio value: 683.867
day: 344, portfolio value: 657.091
day: 347, portfolio value: 658.575
day: 350, portfolio value: 663.335
day: 353, portfolio value: 662.189
day: 356, portfolio value: 647.296
day: 359, portfolio value: 645.833
day: 362, portfolio value: 642.142
day: 365, portfolio value: 652.407
day: 368, portfolio value: 668.114
day: 371, portfolio value: 673.784
day: 374, portfolio value: 707.523
day: 377, portfolio value: 703.106
day: 380, portfolio value: 747.737
day: 383, portfolio value: 756.425
day: 386, portfolio value: 779.142
day: 389, portfolio value: 777.152
day: 392, portfolio value: 813.735
day: 395, portfolio value: 813.433
day: 398, portfolio value: 789.367
day: 401, portfolio value: 802.268
day: 404, portfolio value: 815.487
day: 407, portfolio value: 804.509
day: 410, portfolio value: 825.182
day: 413, portfolio value: 851.025
day: 416, portfolio value: 833.443
day: 419, portfolio value: 844.01
day: 422, portfolio value: 852.059
day: 425, portfolio value: 832.958
day: 428, portfolio value: 821.496
day: 431, portfolio value: 796.421
day: 434, portfolio value: 791.534
day: 437, portfolio value: 773.135
day: 440, portfolio value: 804.628
day: 443, portfolio value: 792.255
day: 446, portfolio value: 824.105
day: 449, portfolio value: 833.079
day: 452, portfolio value: 839.584
day: 455, portfolio value: 826.84
day: 458, portfolio value: 805.213
day: 461, portfolio value: 774.168
day: 464, portfolio value: 769.755
day: 467, portfolio value: 787.551
day: 470, portfolio value: 776.848
day: 473, portfolio value: 809.384
day: 476, portfolio value: 795.157
day: 479, portfolio value: 792.794
day: 482, portfolio value: 770.489
day: 485, portfolio value: 745.566
day: 488, portfolio value: 762.966
day: 491, portfolio value: 799.788
day: 494, portfolio value: 814.673
day: 497, portfolio value: 833.061
day: 500, portfolio value: 851.127
day: 503, portfolio value: 862.403
day: 506, portfolio value: 863.584
day: 509, portfolio value: 878.331
day: 512, portfolio value: 874.926
day: 515, portfolio value: 882.649
day: 518, portfolio value: 910.131
day: 521, portfolio value: 926.878
day: 524, portfolio value: 927.378
day: 527, portfolio value: 934.905
day: 530, portfolio value: 900.304
day: 533, portfolio value: 886.986
day: 536, portfolio value: 927.16
day: 539, portfolio value: 932.55
day: 542, portfolio value: 965.538
day: 545, portfolio value: 982.173
day: 548, portfolio value: 996.537
day: 551, portfolio value: 979.434
day: 554, portfolio value: 1000.71
day: 557, portfolio value: 1049.7
day: 560, portfolio value: 1052.98
day: 563, portfolio value: 1019.98
day: 566, portfolio value: 1035.55
day: 569, portfolio value: 1045.45
day: 572, portfolio value: 1095.59
day: 575, portfolio value: 1103.45
day: 578, portfolio value: 1090
day: 581, portfolio value: 1049.08
day: 584, portfolio value: 1073.78
day: 587, portfolio value: 1079.42
day: 590, portfolio value: 1069.91
day: 593, portfolio value: 1073.6
day: 596, portfolio value: 1069.11
day: 599, portfolio value: 1080.44
day: 602, portfolio value: 1038.95
day: 605, portfolio value: 984.242
day: 608, portfolio value: 1022.5
day: 611, portfolio value: 1040.3
day: 614, portfolio value: 1023.85
day: 617, portfolio value: 1049.4
day: 620, portfolio value: 1048.97
day: 623, portfolio value: 1094.63
day: 626, portfolio value: 1098.98
day: 629, portfolio value: 1094.04
day: 632, portfolio value: 1112.24
day: 635, portfolio value: 1058.8
day: 638, portfolio value: 1096.07
day: 641, portfolio value: 1111.85
day: 644, portfolio value: 1148.88
day: 647, portfolio value: 1157.31
day: 650, portfolio value: 1145.64
day: 653, portfolio value: 1162.11
day: 656, portfolio value: 1190.78
day: 659, portfolio value: 1200.39
day: 662, portfolio value: 1189.89
day: 665, portfolio value: 1142.93
day: 668, portfolio value: 1139.29
day: 671, portfolio value: 1083.77
day: 674, portfolio value: 1064.37
day: 677, portfolio value: 1027.74
day: 680, portfolio value: 1004.89
day: 683, portfolio value: 1060.91
day: 686, portfolio value: 1130.48
day: 689, portfolio value: 1146.82
day: 692, portfolio value: 1144.45
day: 695, portfolio value: 1121.92
day: 698, portfolio value: 1097.44
